Code,Name (en),Name (es),Name (fr),Continent,Preferred languages,HDX Focus Country,Office code,Office name (en),HumanitarianResponse link
AFG,Afghanistan,Afganistán,Afghanistan,Asia,"Pashto, Persian",y,AFG,Afghanistan Country Office,https://afg.humanitarianresponse.info/
DZA,Algeria,Argelia,Algérie,Africa,Arabic,y,ROMENA,Regional Office for the Middle East and North Africa,
AGO,Angola,Angola,Angola,Africa,Portuguese,n,ROSA,Region of Southern Africa,https://rosa.humanitarianresponse.info/locations/angola
ATG,Antigua and Barbuda,Antigua y Barbuda,Antigua-et-Barbuda,North America,English,n,ROLAC,Regional Office for Latin America and the Caribbean,
ARG,Argentina,Argentina,Argentine,South America,Spanish,n,ROLAC,Regional Office for Latin America and the Caribbean,
ARM,Armenia,Armenia,Arménie,Asia,Armenian,n,ROCCA,Regional Office for the Caucasus and Central Asia,
AUS,Australia,Australia,Australie,Asia,English,n,ROAP,Regional Office for Asia and the Pacific,
AZE,Azerbaijan,Azerbaiyán,Azerbaïdjan,Asia,Azerbaijani,n,ROCCA,Regional Office for the Caucasus and Central Asia,
BHS,Bahamas,Bahamas,Bahamas,North America,English,n,ROLAC,Regional Office for Latin America and the Caribbean,
BHR,Bahrain,Bahrein,Bahreïn,Asia,Arabic,n,ROMENA,Regional Office for the Middle East and North Africa,
BGD,Bangladesh,Bangladesh,Bangladesh,Asia,Bengali,y,ROAP,Regional Office for Asia and the Pacific,
BRB,Barbados,Barbados,Barbade,North America,English,n,ROLAC,Regional Office for Latin America and the Caribbean,
BLZ,Belize,Belice,Belize,North America,English,n,ROLAC,Regional Office for Latin America and the Caribbean,
BEN,Benin,Benin,Bénin,Africa,French,y,ROWCA,Region of West and Central Africa,https://wca.humanitarianresponse.info/fr/locations/b%C3%A9nin
BTN,Bhutan,Bhutan,Bhoutan,Asia,Dzongkha,n,ROAP,Regional Office for Asia and the Pacific,
BOL,Bolivia,Bolivia,Bolivie,South America,Spanish,y,ROLAC,Regional Office for Latin America and the Caribbean,
BWA,Botswana,Botswana,Botswana,Africa,"English, Tswana",y,ROSA,Region of Southern Africa,https://rosa.humanitarianresponse.info/locations/botswana
BRA,Brazil,Brasil,Brésil,South America,Portuguese,n,ROLAC,Regional Office for Latin America and the Caribbean,
BRN,Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,Asia,Malay,n,ROAP,Regional Office for Asia and the Pacific,
BFA,Burkina Faso,Burkina Faso,Burkina Faso,Africa,French,y,ROWCA,Region of West and Central Africa,https://wca.humanitarianresponse.info/fr/locations/burkina-faso
BDI,Burundi,Burundi,Burundi,Africa,"French, Kirundi",y,ROEA,Region of East Africa,https://ea.humanitarianresponse.info/locations/burundi
KHM,Cambodia,Camboya,Cambodge,Asia,Khmer,y,ROAP,Regional Office for Asia and the Pacific,
CMR,Cameroon,Camerún,Cameroun,Africa,"French, English",y,ROWCA,Region of West and Central Africa,https://wca.humanitarianresponse.info/fr/locations/cameroun
CAF,Central African Republic,República Centroafricana,Republique centrafricaine,Africa,"French, Sango",y,CAF,CAR Country Office,https://car.humanitarianresponse.info/
TCD,Chad,Chad,Tchad,Africa,"French, Arabic",y,TCD,Chad Country Office,http://chad.humanitarianresponse.info/
